馃摗  鏇存柊鏃ユ湡,#genre#
CCTV15,http://27.19.54.57:34567/bptv/10000100000000050000000003870757.m3u8
CCTV16,http://27.19.54.57:34567/bptv/10000100000000050000000004972604.m3u8
CCTV17,http://27.19.54.57:34567/bptv/10000100000000050000000003870758.m3u8

CCTV1,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv1
CCTV2,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv2
CCTV3,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv3
CCTV4,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv4
CCTV5,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv5
CCTV5+,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv5p2
CCTV6,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv6
CCTV7,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv7
CCTV8,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv8
CCTV9,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv9
CCTV10,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv10
CCTV11,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv11
CCTV12,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv12
CCTV13,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv13
CCTV14,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv14
CCTV15,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv15
CCTV16,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv16
CCTV164k,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv164k
CCTV17,http://live.nctv.top/JKHdjsi/bestv.php?id=cctv17


CCTV1,http://live.nctv.top/JKHdjsi/bfgd.php?id=488
CCTV2,http://live.nctv.top/JKHdjsi/bfgd.php?id=061
CCTV3,http://live.nctv.top/JKHdjsi/bfgd.php?id=062
CCTV4,http://live.nctv.top/JKHdjsi/bfgd.php?id=063
CCTV5,http://live.nctv.top/JKHdjsi/bfgd.php?id=064
CCTV5+,http://live.nctv.top/JKHdjsi/bfgd.php?id=246
CCTV6,http://live.nctv.top/JKHdjsi/bfgd.php?id=065
CCTV7,http://live.nctv.top/JKHdjsi/bfgd.php?id=127
CCTV8,http://live.nctv.top/JKHdjsi/bfgd.php?id=066
CCTV9,http://live.nctv.top/JKHdjsi/bfgd.php?id=128
CCTV10,http://live.nctv.top/JKHdjsi/bfgd.php?id=129
CCTV11,http://live.nctv.top/JKHdjsi/bfgd.php?id=130
CCTV12,http://live.nctv.top/JKHdjsi/bfgd.php?id=131
CCTV13,http://live.nctv.top/JKHdjsi/bfgd.php?id=067
CCTV14,http://live.nctv.top/JKHdjsi/bfgd.php?id=132
CCTV15,http://live.nctv.top/JKHdjsi/bfgd.php?id=133
CCTV16,https://yunmei.tv/main/cctv-16.m3u8
CCTV17,http://live.nctv.top/JKHdjsi/bfgd.php?id=204

CCTV1,http://www.xiaomo520.cn:4020/udp/239.252.219.200:5140
CCTV2,http://www.xiaomo520.cn:4020/udp/239.252.220.183:5140
CCTV3,http://www.xiaomo520.cn:4020/udp/239.252.219.252:5140#http://www.xiaomo520.cn:4020/udp/239.252.220.193:5140
CCTV4,http://www.xiaomo520.cn:4020/udp/239.252.220.184:5140
CCTV5+,http://www.xiaomo520.cn:4020/udp/239.252.219.72:5140
CCTV5,http://www.xiaomo520.cn:4020/udp/239.252.219.198:5140#http://www.xiaomo520.cn:4020/udp/239.252.219.236:5140
CCTV6,http://www.xiaomo520.cn:4020/udp/239.252.219.237:5140#http://www.xiaomo520.cn:4020/udp/239.252.220.195:5140
CCTV7,http://www.xiaomo520.cn:4020/udp/239.252.220.185:5140
CCTV8,http://www.xiaomo520.cn:4020/udp/239.252.219.253:5140#http://www.xiaomo520.cn:4020/udp/239.252.220.196:5140
CCTV9,http://www.xiaomo520.cn:4020/udp/239.252.220.186:5140
CCTV10,http://www.xiaomo520.cn:4020/udp/239.252.220.91:5140
CCTV11,http://www.xiaomo520.cn:4020/udp/239.252.219.78:5140
CCTV12,http://www.xiaomo520.cn:4020/udp/239.252.220.187:5140
CCTV13,http://www.xiaomo520.cn:4020/udp/239.252.219.139:5140
CCTV14,http://www.xiaomo520.cn:4020/udp/239.252.220.92:5140
CCTV15,http://www.xiaomo520.cn:4020/udp/239.252.219.79:5140
CCTV16,http://www.xiaomo520.cn:4020/udp/239.252.219.70:5140
CCTV17,http://www.xiaomo520.cn:4020/udp/239.252.220.192:5140
CCTV164K,http://www.xiaomo520.cn:4020/udp/239.252.220.237:5140
CCTV4-娆ф床,http://www.xiaomo520.cn:4020/udp/239.252.219.192:5140
CCTV4-缇庢床,http://www.xiaomo520.cn:4020/udp/239.252.219.193:5140
CHC鍔ㄤ綔鐢靛奖,http://www.xiaomo520.cn:4020/udp/239.252.219.85:5140
CHC褰辫糠鐢靛奖,http://www.xiaomo520.cn:4020/udp/239.252.219.83:5140
CHC瀹跺涵褰遍櫌,http://www.xiaomo520.cn:4020/udp/239.252.219.84:5140
CCTV绗竴鍓у満,http://www.xiaomo520.cn:4020/udp/239.252.219.86:5140
CCTV椋庝簯鍓у満,http://www.xiaomo520.cn:4020/udp/239.252.219.89:5140
CCTV鎬€鏃у墽鍦�,http://www.xiaomo520.cn:4020/udp/239.252.219.90:5140
CCTV椋庝簯瓒崇悆,http://www.xiaomo520.cn:4020/udp/239.252.219.96:5140
CCTV鐢佃鎸囧崡,http://www.xiaomo520.cn:4020/udp/239.252.219.97:5140
CCTV鍏靛櫒绉戞妧,http://www.xiaomo520.cn:4020/udp/239.252.219.98:5140
CCTV澶鍙扮悆,http://www.xiaomo520.cn:4020/udp/239.252.219.80:5140
